origin_date,forecast_period,dimension_type,dimension_value,metric,actual,p10,p50,p90,absolute_error,ape,smape,covered_by_interval
2026-03-08,90_days,Channel,Bing Ads,ROAS,1.2245,0.06,1.24,5.25,0.0155,1.2667,1.2587,True
2026-03-08,30_days,Channel,Google Ads,Revenue,307972.1481,82282.47,299471.77,516661.08,8500.3781,2.7601,2.7987,True
2026-03-08,30_days,Channel,Google Ads,ROAS,7.3857,1.47,5.34,9.22,2.0457,27.6978,32.1502,True
2026-03-08,60_days,Channel,Google Ads,Revenue,647031.225,241973.77,607241.18,972508.59,39790.045,6.1496,6.3447,True
2026-03-08,60_days,Channel,Google Ads,ROAS,6.3794,2.12,5.31,8.51,1.0694,16.7629,18.2964,True
2026-03-08,90_days,Channel,Google Ads,Revenue,940329.6627,403096.22,898180.77,1393265.32,42148.8927,4.4824,4.5851,True
2026-03-08,90_days,Channel,Google Ads,ROAS,5.961,2.37,5.28,8.19,0.681,11.4241,12.1161,True
2026-03-08,30_days,Channel,Meta Ads,Revenue,41855.27,4360.86,87217.18,186928.55,45361.91,108.378,70.2891,True
2026-03-08,30_days,Channel,Meta Ads,ROAS,7.0909,0.49,9.77,20.94,2.6791,37.7824,31.779,True
2026-03-08,60_days,Channel,Meta Ads,Revenue,74831.45,24155.06,191848.92,359542.78,117017.47,156.3747,87.7586,True
2026-03-08,60_days,Channel,Meta Ads,ROAS,7.3706,1.34,10.64,19.94,3.2694,44.3571,36.3051,True
2026-03-08,90_days,Channel,Meta Ads,Revenue,118229.54,60564.73,287857.5,515150.26,169627.96,143.4734,83.5427,True
2026-03-08,90_days,Channel,Meta Ads,ROAS,6.4301,2.24,10.67,19.09,4.2399,65.9384,49.5892,True
2026-03-08,30_days,CampaignType,AUDIENCE,Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2026-03-08,30_days,CampaignType,AUDIENCE,ROAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2026-03-08,60_days,CampaignType,AUDIENCE,Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
